frame,manual_overall,auto_overall,delta_overall,manual_noodle_rope,auto_noodle_rope,manual_hand,auto_hand,manual_noodle_bundle,auto_noodle_bundle
cm4_00021.jpg,4.4417,2.7833,-1.6583,4.25,2.45,4.825,3.45,0.0,0.0
cm4_00042.jpg,3.7667,3.3833,-0.3833,3.525,2.85,4.25,4.45,0.0,0.0
cm4_00061.jpg,4.2917,3.025,-1.2667,4.25,2.75,4.375,3.575,0.0,0.0
cm4_00081.jpg,3.5667,2.9083,-0.6583,3.25,2.95,4.2,2.825,0.0,0.0
cm4_00101.jpg,3.675,2.775,-0.9,3.45,2.75,4.125,2.825,0.0,0.0
cm4_00124.jpg,3.6,3.0917,-0.5083,3.4,2.85,4.0,3.575,0.0,0.0
cm4_00142.jpg,3.8917,3.475,-0.4167,3.8,3.25,4.075,3.925,0.0,0.0
cm4_00161.jpg,3.9833,3.6,-0.3833,3.75,3.25,4.45,4.3,0.0,0.0
cm4_00182.jpg,4.15,3.3583,-0.7917,4.0,3.25,4.45,3.575,0.0,0.0
