frame,manual_overall,auto_overall,delta_overall,manual_noodle_rope,auto_noodle_rope,manual_hand,auto_hand,manual_noodle_bundle,auto_noodle_bundle
cm4_00021.jpg,4.9417,3.3167,-1.625,5.0,3.25,4.825,3.45,0.0,0.0
cm4_00042.jpg,4.3,3.9167,-0.3833,4.325,3.65,4.25,4.45,0.0,0.0
cm4_00061.jpg,4.7917,3.5583,-1.2333,5.0,3.55,4.375,3.575,0.0,0.0
cm4_00081.jpg,4.1,3.4417,-0.6583,4.05,3.75,4.2,2.825,0.0,0.0
cm4_00101.jpg,4.2083,3.3083,-0.9,4.25,3.55,4.125,2.825,0.0,0.0
cm4_00124.jpg,4.1333,3.625,-0.5083,4.2,3.65,4.0,3.575,0.0,0.0
cm4_00142.jpg,4.425,4.0083,-0.4167,4.6,4.05,4.075,3.925,0.0,0.0
cm4_00161.jpg,4.5167,4.1333,-0.3833,4.55,4.05,4.45,4.3,0.0,0.0
cm4_00182.jpg,4.6833,3.8917,-0.7917,4.8,4.05,4.45,3.575,0.0,0.0
